Metric,Units,Region,Type,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30,year31,year32,year33,year34,year35,year36,year37,year38,year39,year40
benefitsPerTree,dollars,Northern California Coast,Large,20.31953167,40.63906334,60.95859501,81.27812668,101.5976584,102.2759181,102.9541779,103.6324376,104.3106974,104.9889571,107.5715615,110.154166,112.7367704,115.3193748,117.9019793,120.5889313,123.2758834,125.9628355,128.6497876,131.3367397,134.2323871,137.1280345,140.0236819,142.9193293,145.8149767,148.6758415,151.5367063,154.3975712,157.258436,160.1193009,163.1301655,166.1410301,169.1518947,172.1627592,175.1736238,177.4562288,179.7388337,182.0214386,184.3040435,186.5866485
benefitsPerTree,dollars,Northern California Coast,Conifer,28.64125706,57.28251412,85.92377119,114.5650282,143.2062853,148.6432329,154.0801804,159.5171279,164.9540755,170.391023,173.1084099,175.8257967,178.5431835,181.2605703,183.9779571,185.4149113,186.8518654,188.2888196,189.7257737,191.1627279,192.6431602,194.1235926,195.6040249,197.0844572,198.5648896,200.3235823,202.0822751,203.8409678,205.5996606,207.3583533,208.6170469,209.8757405,211.134434,212.3931276,213.6518212,214.6300804,215.6083397,216.5865989,217.5648582,218.5431175
benefitsPerTree,dollars,Southern California Coast,Small,5.42303705,10.8460741,16.26911115,21.6921482,27.11518525,26.91147726,26.70776927,26.50406128,26.30035329,26.0966453,26.48754441,26.87844353,27.26934265,27.66024177,28.05114088,28.46130967,28.87147847,29.28164726,29.69181605,30.10198484,30.42406369,30.74614254,31.06822139,31.39030024,31.71237909,32.03170513,32.35103117,32.67035721,32.98968325,33.30900929,33.43563858,33.56226787,33.68889717,33.81552646,33.94215575,34.08805472,34.23395368,34.37985265,34.52575161,34.67165058
benefitsPerTree,dollars,Southern California Coast,Med,9.665118316,19.33023663,28.99535495,38.66047326,48.32559158,49.09637857,49.86716556,50.63795256,51.40873955,52.17952654,53.64677463,55.11402273,56.58127082,58.04851892,59.51576702,60.80958804,62.10340906,63.39723008,64.6910511,65.98487213,66.89329965,67.80172718,68.7101547,69.61858223,70.52700976,71.43268447,72.33835919,73.2440339,74.14970862,75.05538333,75.47656337,75.8977434,76.31892344,76.74010347,77.16128351,77.58796916,78.01465482,78.44134048,78.86802613,79.29471179
benefitsPerTree,dollars,Southern California Coast,Large,12.04079394,24.08158787,36.12238181,48.16317575,60.20396969,64.96357936,69.72318904,74.48279871,79.24240839,84.00201806,88.68179623,93.36157439,98.04135256,102.7211307,107.4009089,111.4062484,115.411588,119.4169275,123.4222671,127.4276066,130.563058,133.6985094,136.8339607,139.9694121,143.1048635,145.9787978,148.8527322,151.7266665,154.6006009,157.4745352,159.4758286,161.477122,163.4784154,165.4797087,167.4810021,169.3529134,171.2248246,173.0967359,174.9686472,176.8405584
benefitsPerTree,dollars,Temperate Interior West,Small,1.342295986,2.684591973,4.026887959,5.369183946,6.711479932,9.416652253,12.12182457,14.82699689,17.53216921,20.23734153,22.3548306,24.47231967,26.58980874,28.70729781,30.82478688,32.17165628,33.51852567,34.86539507,36.21226447,37.55913386,38.15139053,38.74364719,39.33590385,39.92816051,40.52041717,40.74222758,40.96403799,41.1858484,41.40765881,41.62946922,41.40765881,41.1858484,40.96403799,40.74222758,40.52041717,40.12939057,39.73836397,39.34733738,38.95631078,38.56528418
benefitsPerTree,dollars,Temperate Interior West,Med,7.141380521,14.28276104,21.42414156,28.56552208,35.7069026,36.99203096,38.27715932,39.56228767,40.84741603,42.13254438,43.65777679,45.18300919,46.7082416,48.23347401,49.75870642,51.16274344,52.56678047,53.9708175,55.37485453,56.77889156,57.72101412,58.66313669,59.60525926,60.54738182,61.48950439,62.1480755,62.80664662,63.46521773,64.12378885,64.78235996,65.02017731,65.25799466,65.495812,65.73362935,65.9714467,66.09950219,66.22755768,66.35561318,66.48366867,66.61172417
benefitsPerTree,dollars,Temperate Interior West,Large,3.946853275,7.893706551,11.84055983,15.7874131,19.73426638,27.9618319,36.18939741,44.41696293,52.64452845,60.87209397,65.63072761,70.38936125,75.1479949,79.90662854,84.66526218,86.78046454,88.89566691,91.01086927,93.12607164,95.241274,95.55455262,95.86783124,96.18110986,96.49438848,96.8076671,96.07134801,95.33502891,94.59870982,93.86239073,93.12607164,91.8066427,90.48721377,89.16778483,87.8483559,86.52892697,85.49076278,84.45259859,83.4144344,82.37627022,81.33810603
benefitsPerTree,dollars,Temperate Interior West,Conifer,4.065761949,8.131523898,12.19728585,16.2630478,20.32880974,22.16503407,24.00125839,25.83748271,27.67370703,29.50993136,30.69673138,31.88353141,33.07033144,34.25713147,35.4439315,36.33803326,37.23213501,38.12623677,39.02033852,39.91444028,40.42208885,40.92973741,41.43738598,41.94503455,42.45268312,42.85514324,43.25760337,43.66006349,44.06252362,44.46498374,44.63191323,44.79884271,44.96577219,45.13270168,45.29963116,45.4048196,45.51000805,45.61519649,45.72038493,45.82557337
benefitsPerTree,dollars,Inland Valley (San Juaquin Valley),Small,1.553556807,3.107113613,4.66067042,6.214227227,7.767784034,8.570170516,9.372556999,10.17494348,10.97732996,11.77971645,12.23497119,12.69022593,13.14548067,13.60073541,14.05599016,14.34052437,14.62505858,14.9095928,15.19412701,15.47866122,15.65507244,15.83148365,16.00789486,16.18430607,16.36071729,16.48591234,16.61110739,16.73630245,16.8614975,16.98669256,17.0435994,17.10050624,17.15741309,17.21431993,17.27122677,17.32528827,17.37934977,17.43341127,17.48747277,17.54153427
benefitsPerTree,dollars,Inland Valley (San Juaquin Valley),Med,4.071684598,8.143369196,12.21505379,16.28673839,20.35842299,23.54805152,26.73768006,29.9273086,33.11693713,36.30656567,38.86452825,41.42249083,43.98045341,46.53841599,49.09637857,51.09096341,53.08554825,55.08013309,57.07471792,59.06930276,60.53465396,62.00000516,63.46535636,64.93070756,66.39605876,67.63378259,68.87150642,70.10923025,71.34695408,72.58467791,73.259024,73.93337008,74.60771617,75.28206226,75.95640834,76.63359977,77.3107912,77.98798263,78.66517406,79.34236549
